"shipping_date","seller_name","buyer_name","buyer_address","buyer_city","buyer_zipcode","kode_resi"
"2022-12-01","Sanhatcollection","Christiana Halim","Jl Mampang Prapatan Raya 18","Jakarta Pusat","17224","8871202211292022120163151"
"2022-12-01","Apotek Century Permata","Bobby Andhika","Jl Panti Asuhan 2","Jakarta Pusat","15502","8826202211302022120154302"
"2022-12-01","Agenjaketbandung","Evi Wikarsa","Jl Dewi Sartika 357 C","Jakarta Pusat","15415","92702022113020221201103125"
"2022-12-01","Apotek Mario Cengkareng","Effendy Husin","Jl Ampera Raya Kav I/5 Ged Satmarindo Lt 2","Jakarta Pusat","16277","9353202211292022120187305"
"2022-12-01","X-Urband Official","Ben Morice","Jl Kembang Indah Utama Bl J-2 A/16-17","Jakarta Selatan","15951","9094202211292022120133124"
"2022-12-01","KoboiTech","Elvira Pudjiwati","Jl Raya Pasar Minggu Bl B/12","Jakarta Pusat","16563","904620221129202212019574"
"2022-12-01","STUDIO TROPIK","Irwan Hermanto","Jl Albaido I 29-30","Jakarta Barat","15246","95592022113020221201113226"
"2022-12-01","beau pamore","Evie Raviana","Jl Tmn Duta Mas Bl B-4/2","Jakarta Pusat","15274","88082022112820221201105235"
"2022-12-01","lapak atk","Andre Sukendra Atmadja","Jl Laksda M Nazir 11 U","Jakarta Selatan","16483","904720221129202212012292"
"2022-12-01","Dolphin Tamiya Hobby","Andi Gunawan Wibowo","Jl H Dilun Raya 113 Kel Ulujami Kec Pesanggrahan","Jakarta Utara","16276","8909202211302022120115207"
"2022-12-01","TheStore Collection","Fabian Gelael","Jl Prof Surya Sumantri 16","Kota Bandung","16319","94342022112820221201108141"
"2022-12-01","luxcrime","Andi Achmad Dara","Jl Sumagung III Kav Bulak K/5","Jakarta Utara","16681","9001202211292022120114227"
"2022-12-01","VQ TECHNOLOGY","Andi Achmad Dara","Jl Sumagung III Kav Bulak K/5","Jakarta Utara","16681","923020221128202212011461"
"2022-12-01","look180","Hioe Isenta","Jl Pekayon 4","Jakarta Barat","16966","93892022113020221201109172"
"2022-12-01","Sangkilco","Andi Achmad Dara","Jl Sumagung III Kav Bulak K/5","Jakarta Utara","16681","9622202211302022120114117"
